PROLAMAT;George L. Kovács|Géza Haidegger|Peter Bertók;N/A;0-7923-7556-4;conf/prolamat/2001;2002-01-03;Kluwer;IFIP Conference Proceedings;Digital Enterprise Challenges: Life-Cycle Approach to Management and Production, IFIP TC5 / WG5.2 & WG5.3 Eleventh International PROLAMAT Conference on Digital Enterprise - New Challenges, November 7-10, 2001, Budapest, Hungary;205;2001.0;Budapest,Hungary
GREC@ICDAR;N/A;http://ieeexplore.ieee.org/xpl/tocresult.jsp?isnumber=8270182;N/A;conf/icdar/2017grec;2018-02-03;IEEE;N/A;12th International Workshop on Graphics Recognitio, 14th IAPR International Conference on Document Analysis and Recognition, GREC@ICDAR 2017, Kyoto, Japan, November 9-15, 2017;N/A;2017.0;Kyoto,Japan
AVI;Stefano Levialdi;https://doi.org/10.1145/1385569;978-1-60558-141-5;conf/avi/2008;2018-11-06;ACM Press;N/A;Proceedings of the working conference on Advanced Visual Interfaces, AVI 2008, Napoli, Italy, May 28-30, 2008;N/A;2008.0;Napoli,Italy
N/A;N/A;N/A;N/A;conf/inforsid/2002;2005-05-03;N/A;N/A;Actes du XXème Congrès INFORSID, Nantes, France, 4-7 juin, 2002;N/A;2002.0;France
SIIT;Kai Jakobs;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6765170;978-1-4799-3735-6;conf/siit/2013;2014-03-25;IEEE;N/A;8th International Conference on Standardization and Innovation in Information Technology, SIIT 2013, 24-26 September 2013, European Telecommunications Standards Institute (ETSI), Sophia-Antipolis, France, 2011;N/A;2013.0;France
JISBD;Ernest Teniente|Silvia Abrahão;N/A;978-84-92812-51-6;conf/jisbd/2010;2011-11-17;IBERGARCETA Pub. S.L.;N/A;XV Jornadas de Ingeniería del Software y Bases de Datos (JISBD 2010), Valencia, Spain, September 7-10, 2010. Actas;N/A;2010.0;XV,Valencia,Spain
HCC;David Kreps|Gordon Fletcher|Marie Griffiths;https://doi.org/10.1007/978-3-319-44805-3;978-3-319-44804-6;conf/hcc/2016;2017-05-26;Springer;IFIP Advances in Information and Communication Technology;Technology and Intimacy: Choice or Coercion - 12th IFIP TC 9 International Conference on Human Choice and Computers, HCC12 2016, Salford, UK, September 7-9, 2016, Proceedings;474;2016.0;Salford,UK
SysCon;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6813884;N/A;conf/syscon/2014;2016-11-04;IEEE;N/A;IEEE International Systems Conference, SysCon 2014, Proceedings, Ottawa, ON, Canada, March 31 - April 3, 2014;N/A;2014.0;Ottawa,ON,Canada
AMPS;N/A;http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=7585854;978-1-5090-2373-8;conf/amps/2016;2018-11-19;IEEE;N/A;2016 IEEE International Workshop on Applied Measurements for Power Systems (AMPS), Aachen, Germany, September 28-30, 2016;N/A;2016.0;Aachen,Germany
IMA Conference on the Mathematics of Surfaces;Ralph R. Martin|Roberto Cipolla;N/A;1-85233-358-8;conf/ima-ms/2000;2018-06-20;Springer;N/A;Proceedings of the 9th IMA Conference on the Mathematics of Surfaces, University of Cambridge, UK, September 4-7, 2000;N/A;2000.0;UK
